Restaurant ID,Restaurant Name,Votes,Aggregate rating,Cred_Rating,shrinkage_weight,rank_raw,rank_cred,rank_change
308785,Rocking Woods,86,2.6,2.8726854129652404,0.362962962962963,6026.0,6296.0,-270.0
309769,Shawarma Wala,18,2.5,3.122575085825485,0.7313432835820896,6216.0,5891.0,325.0
3779,Subway,163,2.5,2.6967572205203183,0.23113207547169812,6216.0,6420.0,-204.0
6127,The Yellow Chilli,307,2.7,2.7896419403098527,0.13764044943820225,5776.0,6371.0,-595.0
4982,The Yummy Chilli,9,2.9,3.281250530177715,0.8448275862068966,5082.0,4929.0,153.0
4677,United Punjab,88,2.5,2.804471027374507,0.35766423357664234,6216.0,6356.0,-140.0
8265,McDonald's,160,3.6,3.541686750001471,0.23444976076555024,1785.0,1801.0,-16.0
312352,Vintro,96,3.9,3.714569177588327,0.33793103448275863,807.0,1118.0,-311.0
18285699,Wow! Momo,54,3.5,3.4292478713622083,0.47572815533980584,2195.0,2445.0,-250.0
304987,"34, Chowringhee Lane",45,2.3,2.8480056462798666,0.5212765957446809,6408.0,6317.0,91.0
305386,Kebab Xpress,117,2.4,2.680798378013901,0.29518072289156627,6325.0,6431.0,-106.0
474,Moti Mahal Delux Tandoori Trail,79,2.2,2.6407228964867775,0.3828125,6454.0,6449.0,5.0
252,Pizza Hut,224,2.4,2.570741870880247,0.1794871794871795,6325.0,6472.0,-147.0
5851,The Golden Dragon,43,2.4,2.906657942938125,0.532608695652174,6325.0,6265.0,60.0
404,Yo! China,191,2.0,2.275885544792948,0.20416666666666666,6495.0,6501.0,-6.0
3072,Hawkers,398,3.4,3.394658905481672,0.10961968680089486,2648.0,2628.0,20.0
234,Nirula's,145,3.0,3.0887243853108632,0.25257731958762886,4617.0,5967.0,-1350.0
308,Sagar Ratna,133,2.8,2.948420498628063,0.2692307692307692,5462.0,6205.0,-743.0
311305,Tribe,89,3.3,3.3182067445674455,0.35507246376811596,3125.0,3894.0,-769.0
1509,Angels in my Kitchen,248,3.7,3.6424664335027193,0.16498316498316498,1422.0,1394.0,28.0
18089255,Beijing Street,122,3.8,3.6714183084813303,0.28654970760233917,1087.0,1270.0,-183.0
18369756,Bun Intended,123,3.8,3.6721658764552756,0.28488372093023256,1087.0,1268.0,-181.0
18416856,Captain Chang,40,3.9,3.597893603936039,0.550561797752809,807.0,1547.0,-740.0
306554,Captain Grub,619,3.8,3.7670846268717173,0.07335329341317365,1087.0,954.0,133.0
18287390,Clemency- The Restaurant & Cafe,43,3.8,3.561005769025081,0.532608695652174,1087.0,1718.0,-631.0
1060,Flaming Chilli Pepper,286,3.8,3.7343657634337535,0.14626865671641792,1087.0,1062.0,25.0
306859,Hong Kong Express,164,3.7,3.6197771396728053,0.2300469483568075,1422.0,1476.0,-54.0
308621,Majeed's,170,3.5,3.4667238847046002,0.2237442922374429,2195.0,2201.0,-6.0
18218321,Majlis-e-Mughal,95,3.5,3.449392574654913,0.3402777777777778,2195.0,2324.0,-129.0
18337788,Mickey's Kitchen,191,3.9,3.787968878126281,0.20416666666666666,807.0,884.0,-77.0
2778,Nanking,361,3.6,3.5702744652446525,0.11951219512195121,1785.0,1667.0,118.0
18292485,Nawab Dera,141,3.8,3.6842764776331967,0.2578947368421053,1087.0,1220.0,-133.0
18423898,The Cafe,20,3.8,3.481341025366775,0.7101449275362319,1087.0,2093.0,-1006.0
308246,The Village Cafí©,185,3.7,3.626976627138066,0.2094017094017094,1422.0,1452.0,-30.0
18264997,Cafe Connect,193,4.2,4.028150953513667,0.2024793388429752,289.0,410.0,-121.0
18144479,Happy Hakka,173,4.1,3.9347411295058894,0.22072072072072071,429.0,557.0,-128.0
18431179,Indian Saffron Co.,62,4.2,3.8253381148676353,0.44144144144144143,289.0,806.0,-517.0
