Locality,Price range,Supply,Demand,AvgVotesPerRestaurant,mean_Cred_Rating,locality_p75_threshold,percentile_rank,is_opportunity
Netaji Subhash Place,1,27,3006,111.33333333333333,3.464351287270208,226.5681818181818,0.3333333333333333,False
Netaji Subhash Place,2,11,1371,124.63636363636364,3.439589476464754,226.5681818181818,0.6666666666666666,False
Netaji Subhash Place,3,10,3285,328.5,3.5718217668847836,226.5681818181818,1.0,False
New Friends Colony,1,23,401,17.434782608695652,3.312350395548414,123.69318181818181,0.25,False
New Friends Colony,2,22,761,34.59090909090909,3.311402236841134,123.69318181818181,0.75,False
New Friends Colony,3,1,391,391.0,4.105483024432517,123.69318181818181,1.0,True
New Friends Colony,4,1,24,24.0,3.1371579554836644,123.69318181818181,0.5,False
Old Railway Road,1,25,311,12.44,3.31097699671622,21.233333333333334,0.3333333333333333,False
Old Railway Road,2,15,262,17.466666666666665,3.311166193466279,21.233333333333334,0.6666666666666666,False
Old Railway Road,3,1,25,25.0,3.2663855506798307,21.233333333333334,1.0,True
Paharganj,1,27,1614,59.77777777777778,3.33891981319287,49.238888888888894,1.0,False
Paharganj,2,30,1161,38.7,3.2596016135964034,49.238888888888894,0.6666666666666666,False
Paharganj,3,7,91,13.0,3.2584249147548774,49.238888888888894,0.3333333333333333,False
Palam,1,48,95,1.9791666666666667,3.3046275441234556,2.3697916666666665,0.5,False
Palam,2,12,30,2.5,3.2836177905364576,2.3697916666666665,1.0,False
Palam Vihar,1,34,164,4.823529411764706,3.292179556702653,4.300980392156863,1.0,False
Palam Vihar,2,15,41,2.7333333333333334,3.2999217882936156,4.300980392156863,0.5,False
Paschim Vihar,1,34,1535,45.14705882352941,3.2614145929084244,52.19585561497326,0.5,False
Paschim Vihar,2,22,1200,54.54545454545455,3.270177744461463,52.19585561497326,1.0,False
Pitampura,1,49,1618,33.02040816326531,3.3485814499577895,52.54145408163265,0.6666666666666666,False
Pitampura,2,32,2306,72.0625,3.230625440205378,52.54145408163265,1.0,False
Pitampura,3,4,125,31.25,3.3108312420281796,52.54145408163265,0.3333333333333333,False
Preet Vihar,1,32,406,12.6875,3.304954799968279,56.75,0.3333333333333333,False
Preet Vihar,2,16,1048,65.5,3.274876501351735,56.75,1.0,False
Preet Vihar,3,1,48,48.0,3.1279642345392524,56.75,0.6666666666666666,False
Punjabi Bagh,1,17,762,44.8235294117647,3.398305434483774,99.75142045454545,0.3333333333333333,False
Punjabi Bagh,2,32,2611,81.59375,3.3719515692739543,99.75142045454545,0.6666666666666666,False
Punjabi Bagh,3,11,1297,117.9090909090909,3.4748184907995476,99.75142045454545,1.0,False
R K Puram,1,25,1341,53.64,3.4031205212633346,96.54461538461538,0.5,False
R K Puram,2,13,1441,110.84615384615384,3.310408509253452,96.54461538461538,1.0,False
Rajinder Nagar,1,47,2171,46.191489361702125,3.2540960914305463,94.9090909090909,0.3333333333333333,False
Rajinder Nagar,2,33,2898,87.81818181818181,3.2634722717606066,94.9090909090909,0.6666666666666666,False
Rajinder Nagar,3,1,102,102.0,3.2490896076179308,94.9090909090909,1.0,True
Rajouri Garden,1,24,2249,93.70833333333333,3.521454417191894,505.02083333333337,0.25,False
Rajouri Garden,2,35,4096,117.02857142857142,3.422332007215916,505.02083333333337,0.5,False
Rajouri Garden,3,36,16900,469.44444444444446,3.805451115471106,505.02083333333337,0.75,False
Rajouri Garden,4,4,2447,611.75,3.9311953727836904,505.02083333333337,1.0,False
Rohini,1,26,2441,93.88461538461539,3.4149367556335672,98.1923076923077,0.6666666666666666,False
Rohini,2,18,1663,92.38888888888889,3.2666961982604996,98.1923076923077,0.3333333333333333,False
Rohini,3,4,410,102.5,3.299758538065018,98.1923076923077,1.0,False
Safdarjung,1,35,700,20.0,3.295343932063632,228.2,0.25,False
Safdarjung,2,38,6496,170.94736842105263,3.3369228942829636,228.2,0.5,False
Safdarjung,3,5,923,184.6,3.7676065896707582,228.2,0.75,False
Safdarjung,4,2,718,359.0,3.8269655434105085,228.2,1.0,True
Sainik Farms,1,31,102,3.2903225806451615,3.244500488383331,8.14516129032258,0.6666666666666666,False
Sainik Farms,2,3,5,1.6666666666666667,3.3021232217039147,8.14516129032258,0.3333333333333333,False
Sainik Farms,3,1,13,13.0,3.256653721779153,8.14516129032258,1.0,True
Saket,1,18,660,36.666666666666664,3.3851284427536705,249.6,0.25,False
Saket,2,12,846,70.5,3.3219730331375157,249.6,0.5,False
Saket,3,5,2232,446.4,3.515913464704218,249.6,1.0,False
Saket,4,1,184,184.0,3.5476932650227786,249.6,0.75,False
Satyaniketan,1,33,2205,66.81818181818181,3.401568644045772,408.5232558139535,0.3333333333333333,False
